10000DreamsInterpreted|GustavusHindmanMiller
$1000APlate|JackMcKenty
1000MythologicalCharactersBrieflyDescribed|EdwardSEllis
1001QuestionsandAnswersonOrthographyandReading|BAHathaway
1001tasksformentalcalculation|SergejAleksandrovichRachinskij
100DesertWildflowersinNaturalColor|NattNoyesDodge
100NewYorkersofthe1970s|MaxMillard
100%:TheStoryofaPatriot|UptonSinclair
10KSpecialDVDImage|ProjectGutenberg
13Days|JohnAlanLydeCaunter
13Sonetos|ArnaldoForte
1492|MaryJohnston
1601|MarkTwain
'1683-1920'|FrederickFranklinSchrader
1811DictionaryintheVulgarTongue|FrancisGrose
"1812"NapoleonIinRussia|VasilïĭVasilʹevichVereshchagin
1812|LudwigRellstab
1868ja1968|AugustBlanche
1914andOtherPoems|RupertBrooke
1914|JohnFrenchViscountofYpres
1917MilitaryEquipment:|SearsRoebuck&Co
1931:AGlanceattheTwentiethCentury|HenryHartshorne
1994CIAWorldFactbook|UnitedStatesCentralIntelligenceAgency
1995CIAWorldFactbook|UnitedStatesCentralIntelligenceAgency
19thCenturyActorAutobiographies|GeorgeIles
20000LeaguesUndertheSeas|JulesVerne
20000MijlenonderZee:OostelijkHalfrondVol1|JulesVerne
2001CIAWorldFactbook|UnitedStatesCentralIntelligenceAgency
2003CIAWorldFactbook|UnitedStatesCentralIntelligenceAgency
2004CIAWorldFactbook|UnitedStatesCentralIntelligenceAgency
2005CIAWorldFactbook|UnitedStatesCentralIntelligenceAgency
2008CIAWorldFactbook|UnitedStatesCentralIntelligenceAgency
21|FrankCrane
25vuotta|KasimirLeino
2BR02B|KurtVonnegut
2ndBnRoyalDublinFusiliersSoAfricanWar|Romer&Mainwaring
30000LockedOut|JamesCBeeks
32Caliber|DonaldMcGibeny
35Sonnets|FernandoPessoa
365ForeignDishes|UnknownAuthor
365LuncheonDishes|Anonymous
40years/40a?/40ans|MarieLebert
500oftheBestCockneyWarStories|Various
500R?elundR?elscherzef?ungundalt|JosephFrick
50BabBallads|WilliamSGilbert
54-40orFight|EmersonHough
813|MauriceLeblanc
813|MauriceLeblanc
Aaguaprofunda|PaulBourget
AAlmaNova|Guilhermed'Azevedo
AandekustvanMalabar|EmileDeschamps
AandeZuidpool|RoaldAmundsen
AAngoraaupresdeMustafaKemal|AlaeddineHaidar
AApplePieandOtherNurseryTales|Unknown
AApplePie|KateGreenaway
AarchitecturareligiosanaEdadeM?a|AugustoFuschini
Aarimmaisessatalossa|MattiKurikka
Aarniometsansydan|CharlesGDRoberts
AaronintheWildwoods|JoelChandlerHarris
Aaron'sRod|DHLawrence
AarontheJew|BenjaminLeopoldFarjeon
AaronTrow|AnthonyTrollope
Aarresaari|RobertLouisStevenson
Aasianerämaissa|SvenHedin
AatelisrosvoDubrovskij|AlexanderPushkin
Aatteidenmies|JuhaniAho
AaveidennakijaeliKuvauksiaNordlandista|JonasLie
Aavoillaulapoilla|JackLondon
ABachelorHusband|RubyMAyres
ABachelor'sComedy|JEBuckrose
ABachelor'sDream|MrsHungerford
ABackwardGlanceatEighty|CharlesAMurdock
ABadDayforSales|FritzLeiber
ABadDayforVermin|KeithLaumer
AbaellinodergroßeBandit|HeinrichZschokke
ABalloonAscensionatMidnight|GeorgeEliHall
ABallPlayer'sCareer|AdrianCAnson
Abandoned|JulesVerne
Abandonment|JPdeCaussade
ABaptistAbroad|WalterAndrewWhittle
ABasketofBarleyLoaves|MaryChristinaMiller
