bassetId|title|where|onlineID
4|Behind the Curtain: A Novel|gb|vxECAAAAQAAJ
7|The Bee-Hunters|pg|44375
7|The Bee-Hunters|ht|njp.32101073045286
8|Cardinal Pole: or, The Days of Philip and Mary. An Historical Romance|ht|uc2.ark+=13960=t5s75b83s
9|The Constable de Bourbon|pg|49681
9|The Constable de Bourbon|ht|wu.89015970296
10|Hilary St. Ives|ia|hilarystivesnove01ains
10|Hilary St. Ives|ht|nyp.33433074919469
12|Myddleton Pomfret|ht|uc1.b248236
13|Old Court: A Novel|ht|uc1.b248274
14|The Spanish Match: or, Charles Stuart at Madrid|gb|wOABAAAAQAAJ
14|The Spanish Match: or, Charles Stuart at Madrid|ia|spanishmatchorch03ains
14|The Spanish Match: or, Charles Stuart at Madrid|ht|nyp.33433074945035
20|Anne Severin|ia|anneseverin03crav
21|Anteros: A Novel|ht|njp.32101068972775
24|The Naval Lieutenant: A Nautical Romance|gb|VtEBAAAAQAAJ
24|The Naval Lieutenant: A Nautical Romance|ht|uiuo.ark+=13960=t09w0qz2r
25|The Pirates of 'The Foam': A Novel|gb|GgoCAAAAQAAJ
25|The Pirates of 'The Foam': A Novel|ia|piratesofthefoam02arms
25|The Pirates of 'The Foam': A Novel|ht|uiuo.ark+=13960=t72v2t052
30|An Artist's Proof|ia|artistsproof02aust
30|An Artist's Proof|ht|uiuo.ark+=13960=t06w9mh7k
31|Won by a Head: A Novel|gb|ZYkpAQAAIAAJ
31|Won by a Head: A Novel|ht|mdp.39015063928199
40|Norwood: Life in New England|ht|nyp.33433084129067
42|A First Appearance|ia|firstappearance02bell
42|A First Appearance|ht|uiuo.ark+=13960=t2988h60t
43|Blount Tempest|gb|NMQsAAAAYAAJ
43|Blount Tempest|ia|blounttempest01bell
43|Blount Tempest|ht|njp.32101067707800
49|A Daughter of Heth: A Novel|ht|mdp.39015063747946
50|In Silk Attire|pg|40111
50|In Silk Attire|ht|mdp.39015063986692
51|Kilmeny|ia|kilmeny_02blac
51|Kilmeny|ht|uiuo.ark+=13960=t1jh3tm86
53|The Monarch of Mincing Lane: A Novel|ht|njp.32101067707156
54|Blackfriars: or, The Monks of Old. A Romantic Chronicle|ia|blackfriarsormon03step
54|Blackfriars: or, The Monks of Old. A Romantic Chronicle|ht|uiuo.ark+=13960=t17m0xb8z
55|Cradock Nowell: A Tale of the New Forest|pg|47084
55|Cradock Nowell: A Tale of the New Forest|ht|njp.32101067707289
56|Lorna Doone: A Romance of Exmoor|ia|lornadooneromanc02blac
56|Lorna Doone: A Romance of Exmoor|pg|17460
56|Lorna Doone: A Romance of Exmoor|ht|mdp.39015008168968
65|Riddles of Love: or, The Knave of Hearts|gb|ev0YAAAAYAAJ
71|Cruel as the Grave|gb|b_gBAAAAQAAJ
72|Strong Hands and Steadfast Hearts|ia|stronghandsstead03both
72|Strong Hands and Steadfast Hearts|ht|uiuo.ark+=13960=t4wh2vw3b
74|Jessie's Expiation: A Novel|ht|uiuo.ark+=13960=t2b85xs8f
75|Birds of Prey: A Novel|gb|KCBLAAAAIAAJ
75|Birds of Prey: A Novel|ia|birdsofpreynovel02bradd
75|Birds of Prey: A Novel|pg|9362
75|Birds of Prey: A Novel|ht|dul1.ark+=13960=t0ns18511
76|Charlotte's Inheritance: A Novel|ia|charlottesinheri02brad
76|Charlotte's Inheritance: A Novel|pg|9259
76|Charlotte's Inheritance: A Novel|ht|uiuo.ark+=13960=t19k4w526
77|Dead Sea Fruit: A Novel|gb|LtQBAAAAQAAJ
77|Dead Sea Fruit: A Novel|ia|deadseafruit02brad
77|Dead Sea Fruit: A Novel|ht|pst.000005321285
78|The Doctor's Wife|gb|BkPQAAAAMAAJ
78|The Doctor's Wife|pg|35485
78|The Doctor's Wife|ht|inu.39000002550999
79|Eleanor's Victory|gb|--0BAAAAQAAJ
79|Eleanor's Victory|ht|inu.30000007265501
80|Fenton's Quest: A Novel|gb|UfIBAAAAQAAJ
80|Fenton's Quest: A Novel|ia|fentonsquestnove02brad
80|Fenton's Quest: A Novel|pg|11720
80|Fenton's Quest: A Novel|ht|coo.31924064973526
81|Henry Dunbar: The Story of an Outcast|gb|fgoCAAAAQAAJ
81|Henry Dunbar: The Story of an Outcast|ia|henrydunbarstory01brad
81|Henry Dunbar: The Story of an Outcast|pg|9189
81|Henry Dunbar: The Story of an Outcast|ht|nyp.33433074929187
82|John Marchmont's Legacy|gb|FQoCAAAAQAAJ
82|John Marchmont's Legacy|ht|dul1.ark+=13960=t8cg0gm9f
83|The Lady's Mile|ia|ladysmile03brad
83|The Lady's Mile|ht|uiuo.ark+=13960=t1gj01z3b
84|The Lovels of Arden: A Novel|ia|lovelsofardennov01brad
84|The Lovels of Arden: A Novel|pg|9475
84|The Lovels of Arden: A Novel|ht|uiuo.ark+=13960=t4gm8r25w
85|Only a Clod|gb|Mw01AAAAMAAJ
85|Only a Clod|ht|mdp.39015011425348
86|Run to Earth: A Novel|gb|09MBAAAAQAAJ
86|Run to Earth: A Novel|pg|9102
86|Run to Earth: A Novel|ht|uc1.b3327095
87|Rupert Godwin|gb|xydLAAAAIAAJ
