
bassetId|title|where|onlineID
4|Behind the Curtain: A Novel|gb|vxECAAAAQAAJ
7|The Bee-Hunters|pg|44375
7|The Bee-Hunters||ht:njp.32101073045286
7|The Bee-Hunters||ht:nyp.33433075812325
8|Cardinal Pole: or, The Days of Philip and Mary. An Historical Romance||ht:uc2.ark+=13960=t5s75b83s
9|The Constable de Bourbon|pg|49681
9|The Constable de Bourbon||ht:wu.89015970296
10|Hilary St. Ives||ht:nyp.33433074919469
10|Hilary St. Ives||ht:uiuo.ark+=13960=t02z1gm85
10|Hilary St. Ives||ht:uiuo.ark+=13960=t0dv1sk2m
10|Hilary St. Ives||ht:uiuo.ark+=13960=t5n87h69q
10|Hilary St. Ives|ia|hilarystivesnove01ains
10|Hilary St. Ives|ia|hilarystivesnove02ains
10|Hilary St. Ives|ia|hilarystivesnove03ains
12|Myddleton Pomfret||ht:uc1.b248236
12|Myddleton Pomfret||ht:uc2.ark+=13960=t6zw1ch0r
13|Old Court: A Novel||ht:uc1.b248274
13|Old Court: A Novel||ht:uc2.ark+=13960=t2r49js8r
14|The Spanish Match: or, Charles Stuart at Madrid|gb|wOABAAAAQAAJ
14|The Spanish Match: or, Charles Stuart at Madrid||ht:nyp.33433074945035
14|The Spanish Match: or, Charles Stuart at Madrid||ht:uiuo.ark+=13960=t78s50349
14|The Spanish Match: or, Charles Stuart at Madrid||ht:uiuo.ark+=13960=t9w099z3g
14|The Spanish Match: or, Charles Stuart at Madrid||ht:uiuo.ark+=13960=t9x06bv3q
14|The Spanish Match: or, Charles Stuart at Madrid|ia|spanishmatchorch03ains
14|The Spanish Match: or, Charles Stuart at Madrid|ia|spanishmatchorch02ains
14|The Spanish Match: or, Charles Stuart at Madrid|ia|spanishmatchorch01ains
20|Anne Severin|ia|anneseverin03crav
20|Anne Severin|ia|anneseverin02crav
20|Anne Severin|ia|anneseverin01crav
21|Anteros: A Novel||ht:njp.32101068972775
24|The Naval Lieutenant: A Nautical Romance|gb|VtEBAAAAQAAJ
24|The Naval Lieutenant: A Nautical Romance||ht:uiuo.ark+=13960=t09w0qz2r
24|The Naval Lieutenant: A Nautical Romance||ht:uiuo.ark+=13960=t1cj8pm7r
24|The Naval Lieutenant: A Nautical Romance||ht:uiuo.ark+=13960=t1pg1zn8f
25|The Pirates of 'The Foam': A Novel|gb|GgoCAAAAQAAJ
25|The Pirates of 'The Foam': A Novel||ht:uiuo.ark+=13960=t72v2t052
25|The Pirates of 'The Foam': A Novel||ht:uiuo.ark+=13960=t7wm1jd68
25|The Pirates of 'The Foam': A Novel||ht:uiuo.ark+=13960=t9j39193k
25|The Pirates of 'The Foam': A Novel|ia|piratesofthefoam02arms
25|The Pirates of 'The Foam': A Novel|ia|piratesofthefoam03arms
25|The Pirates of 'The Foam': A Novel|ia|piratesofthefoam01arms
30|An Artist's Proof||ht:uiuo.ark+=13960=t06w9mh7k
30|An Artist's Proof||ht:uiuo.ark+=13960=t0bv7r243
30|An Artist's Proof||ht:uiuo.ark+=13960=t14m9fm1v
30|An Artist's Proof|ia|artistsproof02aust
30|An Artist's Proof|ia|artistsproof01aust
31|Won by a Head: A Novel|gb|ZYkpAQAAIAAJ
31|Won by a Head: A Novel||ht:mdp.39015063928199
31|Won by a Head: A Novel||ht:mdp.39015063928231
31|Won by a Head: A Novel||ht:mdp.39015063928249
31|Won by a Head: A Novel||ht:uc1.b3322256
31|Won by a Head: A Novel||ht:uc1.b3322257
31|Won by a Head: A Novel||ht:uc1.b3322258
40|Norwood: Life in New England||ht:nyp.33433084129067
40|Norwood: Life in New England||ht:mdp.39015012888023
40|Norwood: Life in New England||ht:mdp.39015059395874
40|Norwood: Life in New England||ht:nc01.ark+=13960=t1fj2vj0w
40|Norwood: Life in New England||ht:nyp.33433074833066
40|Norwood: Life in New England||ht:uc1.b4109141
42|A First Appearance||ht:uiuo.ark+=13960=t2988h60t
42|A First Appearance||ht:uiuo.ark+=13960=t3bz6fw2n
42|A First Appearance||ht:uiuo.ark+=13960=t4kk9k18s
42|A First Appearance|ia|firstappearance02bell
42|A First Appearance|ia|firstappearance01bell
42|A First Appearance|ia|firstappearance03bell
43|Blount Tempest|gb|NMQsAAAAYAAJ
43|Blount Tempest||ht:njp.32101067707800
43|Blount Tempest||ht:njp.32101067707818
43|Blount Tempest||ht:njp.32101067707826
43|Blount Tempest||ht:uiuo.ark+=13960=t2t43zk4f
43|Blount Tempest||ht:uiuo.ark+=13960=t6251wd9n
43|Blount Tempest||ht:uiuo.ark+=13960=t88g8wh0t
43|Blount Tempest|ia|blounttempest01bell
43|Blount Tempest|ia|blounttempest03bell
43|Blount Tempest|ia|blounttempest02bell
49|A Daughter of Heth: A Novel||ht:mdp.39015063747946
49|A Daughter of Heth: A Novel||ht:mdp.39015063747953
49|A Daughter of Heth: A Novel||ht:uc1.b3321706
49|A Daughter of Heth: A Novel||ht:uc1.b3321707
49|A Daughter of Heth: A Novel||ht:uc1.b3321708
49|A Daughter of Heth: A Novel||ht:njp.32101066599356
49|A Daughter of Heth: A Novel||ht:mdp.39015063986676
49|A Daughter of Heth: A Novel||ht:uc1.b249594
