id,when,sex,vols,counter
B1,T2,F,3,1
B2,T2,F,3,1
B3,T2,U,3,1
B4,T2,M,3,1
B5,T2,M,3,1
B6,T2,M,3,1
B7,T2,M,3,1
B8,T2,M,3,1
B9,T2,M,3,1
B10,T2,M,3,1
B11,T2,M,3,1
B12,T2,M,3,1
B13,T2,M,3,1
B14,T2,M,3,1
B15,T2,M,3,1
B16,T2,F,3,1
B17,T2,F,3,1
B18,T2,M,3,1
B19,T2,F,3,1
B20,T2,F,3,1
B21,T2,M,3,1
B22,T2,M,3,1
B23,T2,M,3,1
B24,T2,M,3,1
B25,T2,M,3,1
B26,T2,M,3,1
B27,T2,M,3,1
B28,T2,F,3,1
B29,T2,M,3,1
B30,T2,M,3,1
B31,T2,M,3,1
B32,T2,M,3,1
B33,T2,M,3,1
B34,T2,F,3,1
B35,T2,F,3,1
B36,T2,M,3,1
B37,T2,M,3,1
B38,T2,F,3,1
B39,T2,M,3,1
B40,T2,M,3,1
B41,T2,M,3,1
B42,T2,F,3,1
B43,T2,M,3,1
B44,T2,F,3,1
B45,T2,F,3,1
B46,T2,M,3,1
B47,T2,M,3,1
B48,T2,F,3,1
B49,T2,M,3,1
B50,T2,M,3,1
B51,T2,M,3,1
B52,T2,M,3,1
B53,T2,M,3,1
B54,T2,M,3,1
B55,T2,M,3,1
B56,T2,M,3,1
B57,T2,F,3,1
B58,T2,F,3,1
B59,T2,F,3,1
B60,T2,F,3,1
B61,T2,F,3,1
B62,T2,F,3,1
B63,T2,F,3,1
B64,T2,F,3,1
B65,T2,M,3,1
B66,T2,U,3,1
B67,T2,F,3,1
B68,T2,F,3,1
B69,T2,M,3,1
B70,T2,F,3,1
B71,T2,F,3,1
B72,T2,F,3,1
B73,T2,M,3,1
B74,T2,M,3,1
B75,T2,F,3,1
B76,T2,F,3,1
B77,T2,F,3,1
B78,T2,F,3,1
B79,T2,F,3,1
B80,T2,F,3,1
B81,T2,F,3,1
B82,T2,F,3,1
B83,T2,F,3,1
B84,T2,F,3,1
B85,T2,F,3,1
B86,T2,F,3,1
B87,T2,F,3,1
B88,T2,F,3,1
B89,T2,M,3,1
B90,T2,M,3,1
B91,T2,M,3,1
B92,T2,F,3,1
B93,T2,M,3,1
B94,T2,M,3,1
B95,T2,F,3,1
B96,T2,F,3,1
B97,T2,F,3,1
B98,T2,U,3,1
B99,T2,M,3,1
B100,T2,F,3,1
B101,T2,F,3,1
B102,T2,M,3,1
B103,T2,M,3,1
B104,T2,M,3,1
B105,T2,F,3,1
B106,T2,F,3,1
B107,T2,F,3,1
B108,T2,M,3,1
B109,T2,M,3,1
B110,T2,F,3,1
B111,T2,F,3,1
B112,T2,F,3,1
B113,T2,F,3,1
B114,T2,F,3,1
B115,T2,M,3,1
B116,T2,M,3,1
B117,T2,F,3,1
B118,T2,F,3,1
B119,T2,M,3,1
B120,T2,M,3,1
B121,T2,M,3,1
B122,T2,M,3,1
B123,T2,M,3,1
B124,T2,M,3,1
B125,T2,F,3,1
B126,T2,M,3,1
B127,T2,F,3,1
B128,T2,F,3,1
B129,T2,M,3,1
B130,T2,M,3,1
B131,T2,M,3,1
B132,T2,M,3,1
B133,T2,M,3,1
B134,T2,M,3,1
B135,T2,M,3,1
B136,T2,M,3,1
B137,T2,M,3,1
B138,T2,M,3,1
B139,T2,M,3,1
B140,T2,M,3,1
B141,T2,M,3,1
B142,T2,M,3,1
B143,T2,F,3,1
B144,T2,M,3,1
B145,T2,F,3,1
B146,T2,F,3,1
B147,T2,F,3,1
B148,T2,M,3,1
B149,T2,M,3,1
B150,T2,F,3,1
B151,T2,F,3,1
B152,T2,F,3,1
B153,T2,F,3,1
B154,T2,M,3,1
B155,T2,M,3,1
B156,T2,F,3,1
B157,T2,F,3,1
B158,T2,F,3,1
B159,T2,F,3,1
B160,T2,F,3,1
B161,T2,F,3,1
B162,T2,F,3,1
B163,T2,F,3,1
B165,T2,F,3,1
B166,T2,F,3,1
B167,T2,F,3,1
B168,T2,F,3,1
B169,T2,F,3,1
B170,T2,M,3,1
B171,T2,U,3,1
B172,T2,M,3,1
B173,T2,U,3,1
B174,T2,M,3,1
B175,T2,M,3,1
B176,T2,F,3,1
B177,T2,F,3,1
B178,T2,F,3,1
B179,T2,F,3,1
B180,T2,F,3,1
B181,T2,F,3,1
B182,T2,M,3,1
B183,T2,F,3,1
B184,T2,F,3,1
B185,T2,F,3,1
B186,T2,F,3,1
B187,T2,M,3,1
B188,T2,M,3,1
B189,T2,F,3,1
B190,T2,F,3,1
B191,T2,F,3,1
B192,T2,F,3,1
B193,T2,F,3,1
B194,T2,F,3,1
B195,T2,M,3,1
B196,T2,F,3,1
B197,T2,F,3,1
B198,T2,F,3,1
B199,T2,F,3,1
B200,T2,F,3,1
B201,T2,F,3,1
B202,T2,F,3,1
B204,T2,F,3,1
B205,T2,M,3,1
B206,T2,U,3,1
B207,T2,M,3,1
B208,T2,F,3,1
B209,T2,F,3,1
B210,T2,F,3,1
B211,T2,F,3,1
B212,T2,F,3,1
B214,T2,M,3,1
B215,T2,M,3,1
B216,T2,M,3,1
B217,T2,M,3,1
B218,T2,F,3,1
B219,T2,M,3,1
B220,T2,M,3,1
B221,T2,M,3,1
B222,T2,M,3,1
B223,T2,M,3,1
B224,T2,F,3,1
B225,T2,F,3,1
B226,T2,M,3,1
B227,T2,M,3,1
B228,T2,M,3,1
B229,T2,M,3,1
B230,T2,M,3,1
B231,T2,M,3,1
B232,T2,M,3,1
B233,T2,M,3,1
B234,T2,M,3,1
B235,T2,F,3,1
B236,T2,F,3,1
B237,T2,M,3,1
B238,T2,U,3,1
B239,T2,F,3,1
B240,T2,M,3,1
B241,T2,F,3,1
B242,T2,F,3,1
B243,T2,F,3,1
B244,T2,F,3,1
B245,T2,M,3,1
B246,T2,M,3,1
B247,T2,M,3,1
B248,T2,M,3,1
B249,T2,F,3,1
B250,T2,F,3,1
B251,T2,F,3,1
B252,T2,F,3,1
B253,T2,M,3,1
B254,T2,M,3,1
B255,T2,M,3,1
B256,T2,M,3,1
B257,T2,F,3,1
B258,T2,F,3,1
B259,T2,M,3,1
