genre_name	title_id
Sensation Novel	1
Bigamy Novel	3
Sensation Novel	4
Detective Fiction	4
Historical Novel: Elizabethan	8
Historical Novel: Elizabethan	9
Historical Novel: 18th Century	11
Sensation Novel	12
Bigamy Novel	12
Historical Novel: 17th Century	14
Mesmerism	15
Sensation Novel	19
Bigamy Novel	22
Nautical Novel	24
Historical Novel: 18th Century	24
Nautical Novel	25
Nautical Novel	26
Historical Novel: 18th Century	26
Short Stories	27
Nautical Novel	27
Sensation Novel	28
Sensation Novel	34
Sensation Novel	39
Detective Fiction	39
Sensation Novel	41
Theatre Novel	42
Sensation Novel	43
Sensation Novel	45
Sensation Novel	48
Historical Novel: Elizabethan	54
Sensation Novel	55
African Novel	55
Slum Fiction	55
Historical Novel: 17th Century	56
Penguin Classics (2016)	56
Oxford World's Classics (2017)	56
Sensation Novel	60
Bigamy Novel	64
Sensation Novel	68
Sensation Novel	69
Sensation Novel	71
Bigamy Novel	71
Sensation Novel	74
Sensation Novel	75
Bigamy Novel	75
Sensation Novel	76
Sensation Novel	77
Bigamy Novel	77
Character: Author	78
Character: Doctor	78
Sensation Novel	78
Oxford World's Classics (2017)	78
Sensation Novel	79
Sensation Novel	80
Sensation Novel	81
Bigamy Novel	82
Sensation Novel	82
Sensation Novel	84
Bigamy Novel	84
Sensation Novel	85
Sensation Novel	86
Sensation Novel	88
Bigamy Novel	88
Historical Novel: Medieval	91
Sensation Novel	93
Historical Novel: Elizabethan	94
Sensation Novel	96
Sensation Novel	99
Nautical Novel	104
Sensation Novel	107
Sensation Novel	109
Sensation Novel	110
Sensation Novel	114
Chronicles of Carlingford	117
Penguin Classics (2016)	117
Chronicles of Carlingford	118
Sensation Novel	120
Sensation Novel	122
Sensation Novel	123
Sensation Novel	125
Sensation Novel	126
Sensation Novel	129
Sensation Novel	133
Sensation Novel	134
Sensation Novel	135
Detective Fiction	136
West Indian Novel	136
Character: Drug Addict	136
Documentary Novels	136
Sensation Novel	136
Penguin Classics (2016)	136
Broadview Editions (2017)	136
Oxford World's Classics (2017)	136
Bigamy Novel	137
Oxford World's Classics (2017)	137
Sensation Novel	138
Penguin Classics (2016)	138
Oxford World's Classics (2017)	138
Sensation Novel	139
Character: Artist	139
Sensation Novel	142
Sensation Novel	144
Sensation Novel	145
Sensation Novel	150
Historical Novel: Elizabethan	154
Sensation Novel	155
Sensation Novel	156
Sensation Novel	161
Sensation Novel	163
Sensation Novel	168
Character: Governess	169
Sensation Novel	169
Sensation Novel	170
Bigamy Novel	170
Bigamy Novel	172
Sensation Novel	172
Penguin Classics (2016)	172
Oxford World's Classics (2017)	172
Sensation Novel	173
Bigamy Novel	173
Sensation Novel	174
Bigamy Novel	174
University Novel	175
Sensation Novel	176
Sensation Novel	178
Bigamy Novel	178
Historical Novel: 17th Century	179
Sensation Novel	180
Sensation Novel	181
Bigamy Novel	183
Sensation Novel	183
Bildungsroman (female)	183
School Novel	183
Character: Artist	183
Sensation Novel	189
Sensation Novel	190
Sensation Novel	195
Sensation Novel	206
Sensation Novel	217
Political Novel	218
Sensation Novel	218
Historical Novel: 19th Century	218
Penguin Classics (2016)	218
Broadview Editions (2017)	218
Social Problem Novel	218
Sensation Novel	219
Sensation Novel	221
Sensation Novel	222
Sensation Novel	223
Sensation Novel	225
Sensation Novel	228
Sensation Novel	230
Sensation Novel	231
Sensation Novel	232
Bigamy Novel	232
Detective Fiction	234
Sensation Novel	235
Sensation Novel	237
Bigamy Novel	245
Sensation Novel	248
Historical Novel: Elizabethan	250
Indian Novel	256
Sensation Novel	259
Character: Doctor	260
Penguin Classics (2016)	261
Oxford World's Classics (2017)	261
Bigamy Novel	261
Sensation Novel	262
Sensation Novel	263
Sensation Novel	265
Nautical Novel	265
Sensation Novel	266
Bigamy Novel	266
Sensation Novel	267
Historical Novel: Elizabethan	268
Sensation Novel	270
Bigamy Novel	270
Sensation Novel	271
Indian Novel	279
Military Fiction	280
Military Fiction	280
Historical Novel: 19th Century	280
Indian Novel	282
Military Fiction	283
Historical Novel: 18th Century	283
Sensation Novel	284
Sensation Novel	288
Sensation Novel	290
Silver-Fork Novel	291
Sensation Novel	294
Sensation Novel	297
Historical Novel: Classical	300
Sensation Novel	305
Sensation Novel	307
Sensation Novel	310
Sensation Novel	311
Sensation Novel	314
Sensation Novel	318
Bigamy Novel	320
Sensation Novel	320
Russian Novel	321
Sensation Novel	322
Sensation Novel	325
Sensation Novel	327
Sensation Novel	328
Sensation Novel	329
Sensation Novel	331
Historical Novel: 18th Century	332
Sensation Novel	335
Sensation Novel	339
Bigamy Novel	339
Detective Fiction	339
Sensation Novel	341
Sensation Novel	351
Sensation Novel	353
Bigamy Novel	353
Sensation Novel	358
Sensation Novel	360
Sensation Novel	366
University Novel	372
Sensation Novel	373
Sensation Novel	376
Sensation Novel	379
Sensation Novel	382
Sensation Novel	385
Sensation Novel	388
Detective Fiction	388
Sensation Novel	389
Sensation Novel	390
Gothic Novel	390
Sensation Novel	391
Bigamy Novel	392
Sensation Novel	392
Sensation Novel	393
Sensation Novel	394
Character: Governess	395
Character: Drug Addict	395
Sensation Novel	395
Penguin Classics (2016)	395
Sensation Novel	396
Sensation Novel	397
Bigamy Novel	397
Sensation Novel	398
Sensation Novel	399
Short Stories	400
Sensation Novel	402
Sensation Novel	407
Bigamy Novel	409
Sensation Novel	409
Sensation Novel	410
Sensation Novel	411
Sensation Novel	414
Historical Novel: 18th Century	417
Nautical Novel	422
Sensation Novel	424
Short Stories	428
Sensation Novel	429
Theatre Novel	430
School Novel	433
University Novel	433
Sensation Novel	443
Science Fiction	445
Sensation Novel	449
Sensation Novel	453
Sensation Novel	454
Character: Author	455
Sensation Novel	456
Sensation Novel	458
Sensation Novel	459
Sensation Novel	460
Sensation Novel	461
Sensation Novel	463
Sensation Novel	464
Character: Governess	469
Russian Novel	469
Sensation Novel	474
Historical Novel: 18th Century	477
West Indian Novel	477
Historical Novel: Classical	478
Sensation Novel	480
Sensation Novel	482
Sensation Novel	483
Sensation Novel	489
Bigamy Novel	489
Sensation Novel	491
Bigamy Novel	491
Sensation Novel	492
Historical Novel: 17th Century	494
Sensation Novel	496
Sensation Novel	497
Sensation Novel	499
Sensation Novel	501
Sensation Novel	503
Bigamy Novel	503
Sensation Novel	504
Sensation Novel	508
Sensation Novel	509
University Novel	510
Sensation Novel	514
Bigamy Novel	514
Sensation Novel	518
Sensation Novel	519
Bigamy Novel	519
Bigamy Novel	521
Sensation Novel	521
Sensation Novel	522
Short Stories	523
Bigamy Novel	528
Sensation Novel	529
Sensation Novel	534
Bigamy Novel	534
Sensation Novel	536
Bigamy Novel	540
Sensation Novel	542
Historical Novel: 18th Century	544
Sensation Novel	549
Sensation Novel	550
Sensation Novel	552
Sensation Novel	553
Sensation Novel	555
Sensation Novel	560
Indian Novel	561
Character: Musician	562
Sensation Novel	566
Sensation Novel	567
Sensation Novel	569
Bigamy Novel	569
Sensation Novel	577
Bigamy Novel	578
Sensation Novel	578
Nautical Novel	579
University Novel	579
Sensation Novel	579
Character: Mentally Ill	579
Social Problem Novel	579
Sensation Novel	580
Social Problem Novel	580
University Novel	581
Sensation Novel	581
Nautical Novel	581
Bigamy Novel	583
Sensation Novel	583
Historical Novel: 17th Century	586
Sensation Novel	590
Sensation Novel	592
Sensation Novel	593
Sensation Novel	594
Sensation Novel	596
Historical Novel: Elizabethan	603
Penguin Classics (2016)	603
Broadview Editions (2017)	603
Bigamy Novel	603
Sensation Novel	605
Bigamy Novel	605
Sensation Novel	606
Sensation Novel	607
Sensation Novel	611
Sensation Novel	612
Indian Novel	613
Sensation Novel	615
Historical Novel: 18th Century	616
Sensation Novel	617
Sensation Novel	619
Sensation Novel	620
Russian Novel	621
Sensation Novel	623
Nautical Novel	623
Sensation Novel	630
Bigamy Novel	631
Sensation Novel	631
Sensation Novel	632
Sensation Novel	639
Sensation Novel	641
Sensation Novel	642
Bigamy Novel	643
Sensation Novel	645
Bigamy Novel	645
Sensation Novel	646
Bigamy Novel	646
Australian Novel	648
Character: Author	648
Australian Novel	649
Sensation Novel	650
Sensation Novel	652
Bigamy Novel	654
Sensation Novel	657
Sensation Novel	660
Sensation Novel	666
Indian Novel	670
Character: Author	675
Sensation Novel	678
Sensation Novel	680
Sensation Novel	684
Sensation Novel	696
Bigamy Novel	696
Sensation Novel	697
Sensation Novel	698
Character: Suicide	700
Historical Novel: 17th Century	703
Sensation Novel	704
Sensation Novel	706
Bigamy Novel	709
Sensation Novel	709
Sensation Novel	710
Sensation Novel	711
Sensation Novel	715
Unfinished Serializations	719
African Novel	719
Sensation Novel	722
Silver-Fork Novel	722
Italian Novel	724
Bigamy Novel	724
Sensation Novel	728
Sensation Novel	729
Military Fiction	731
Sensation Novel	734
Sensation Novel	737
Character: Governess	738
Bigamy Novel	743
Historical Novel: Elizabethan	745
Sensation Novel	747
Sensation Novel	752
Sensation Novel	755
Sensation Novel	757
Sensation Novel	758
Sensation Novel	759
Sensation Novel	760
Sensation Novel	761
Sensation Novel	762
Bigamy Novel	762
Sensation Novel	763
Sensation Novel	764
Deceased Wife's Sister Novel	765
Sensation Novel	765
Bigamy Novel	765
Sensation Novel	766
Sensation Novel	767
Sensation Novel	768
Character: Author	769
Sensation Novel	769
Sensation Novel	770
Sensation Novel	771
Bigamy Novel	771
Sensation Novel	772
