eltec_id	IA_id	title_key	title_id
ENG18831	follefarine03ouid1	follefarine|Ouida	236
ENG18670	undertwoflagssto02ouid	undertwoflags|Ouida	719
ENG18870	newantigoneroman01barr	thenewantigone|Barry	1671
ENG18621	ladyaudleyssecre01brad	ladyaudleyssecret|Braddon	2978
ENG18410	modernflirtation03sinc	modernflirtations|Sinclair	4292
ENG18901	alasnovel01brou1	alas|Broughton	4520
ENG18721	middlemarchstudy12elio	middlemarch|Eliot	5429
ENG18760	twodestiniesroma02coll	thetwodestinies|Collins	5727
ENG18770	twodestiniesroma02coll	thetwodestinies|Collins	5727
ENG18741	parisians02lytt	theparisians|Lytton	5873
ENG18860	mayorofcasterbri01hard	themayorofcasterbridge|Hardy	6088
ENG18630	mistressmaid01crai	mistressandmaid|Craik	6926
ENG18482	marybartontaleof01gask	marybarton|Gaskell	6955
ENG18531	heirofredclyffe01yong	theheirofredclyffe|Yonge	7034
ENG18511	tutorswardnovel02sken	thetutorsward|Skene	7217
ENG18530	bleakhouse04dick	bleakhouse|Dickens	7470
ENG18470	homeinfluencetal01agui	homeinfluence|Aguilar	11349
