astepaside|Gascoigne
cherryripearomance|Mathers
corinnaastudy|
goodbyesweetheartatale|Broughton
isayno|Collins
shoddy|Wood
thatlittlefrenchman|
theladyenancye|
toogoodforhim|Marryat
vertsorthethreecreeds|Davies
abretonmaiden|Wall
acountrycuratesautobiographyorpassagesofalifewithoutaliving|
ageraldine|King
ahousedividedagainstitself|Oliphant
alaodiceanorthecastleofthedestancys|
alondonlegend|McCarthy
asailorssweetheartanaccountofthewreckofthesailingshipwaldershareetc[anovel]|Russell
ascotsthistle|Lefroy
asuffolktale|Roche
asylvanqueen|
awaking|Spender
awomanofmindanovel|SMITH
abachelorsblunder|Norris
abankruptheart|Marryat
abarteredhonour|Sherard
abirdofpassage|Croker
aborncoquetteanovel|Duchess
aboxfortheseason|Clarke
abrilliantwoman|Chetwynd
abrokenblossom|Marryat
abrokenfaith|Hardy
abrokenlily|Collins
aburglaryorunconsciousinfluence|
achildofthemenhir|Clare
achildwidow|Williamson
achoiceofevils|Alexander
achronicleofthefermors|Stradling
acolonialreformer|Boldrewood
acomedyofmasks|
acrackcounty|Kennard
acrownofshameanovel|Lean
acumbereroftheground|Smith
adaughterofmusic|Colmore
adiamondintherough|O'Hanlon
adogwithabadname|Warden
adoubleknot|Fenn
adoublewedding|Tabor
adoubtingheart|Keary
adreamer|Colvill
afalsestart|Smart
afamilyhistory|Eyre
afamilypartyinthepiazzaofstpeter|
afamilytree|De Fonblanque
afatalsilence|Marryat
afatherasheshouldbe|Hofland
afirstappearance|Bell
agameofchance|Curtis
agardenofmemoriesmrsaustinlizziesbargain|
agirlspast|Martin
agoldenheart|Hood
agoodhater|Boyle
agoodmatchtheheiressofdrosbergandthecathedralchorister|Chatterton
agrayeyeorso|Moore
agreatmysterysolved|
agreatplatonicfriendship|Burrard
aheroswork|Hardy
ahouseinbloomsbury|Oliphant
alifeawry|Pickering
alifesatonement|Christie-Murray
alifesdevotion|Sandars
alifeshazardortheoutlawofwentworthwaste|Esmond
alifeslessons|Gore
alifesmorning|Gissing
alifesremorse|Duchess
alifestruggle|Pardoe
alionamongtheladies|Gaskell
alostcause|Aldred
aluckyyoungwomananovel|Philips
amansfoes|Strain
amansmistake|Tabor
amarriageinhighlife|Scott
amasquerader|Gissing
amerechanceanovel|Cambridge
amerecypheranovel|Dickens
amineofwealth|Stuart
amingledyarn|Mackarness
amoderndickwhittington|Payn
amodernquixote|Spender
amoderntelemachus|Yonge
amodernulysses|Hatton
amodernbrigand|Rae
amodernminister|Durrant
amomentofmadness|Lean
anarrowescape|Thomas
anewfaceatthedoor|Stanley
anoblelife|Craik
anoblename|
anoblequeen|Taylor
anoblewoman|Jeaffreson
anorthernlily|Harrison
apairofblueeyes|
aperiloussecret|Reade
apicturefromlife|Whitfield
apointofconscience|Duchess
apoorgentleman|Oliphant
aprinceofdarkness|Warden
aprinceoftheblood|Payn
aprincessofthule|Black
aprodigalson|Cook
aprodigalsprogress|Barrett
aprodigy|Chorley
arailwayfoundling|Nomad
aredsister|Pirkis
arichmansrelatives|Cleland
arightedwronganovel|Yates
arisingstar|Murray
aromanceoflincolnsinn|Doudney
aromanceofregentstreet|Cox
aromanceofmodernlondon|Yorke
aromanceofthenineteenthcentury|Mallock
aromanceoftwoworlds|Corelli
aroseinjune|Oliphant
asecretinheritance|Farjeon
asecretoftheseaanovel|Speight
asinnerssentence|Larder
asiren|Trollope
asnaptgoldring|Wedmore
asonofhagar|Caine
asonofmars|Griffiths
asonofthesoil|Oliphant
astatesmanslove|Boucher
astiffneckedgeneration|Walford
astrangetemptation|Spender
astrangeworld|Braddon
astruggleforfame|Riddell
astumbleonthethreshold|Payn
asummeratbrighton|Young
atangledchain|Panton
atantaluscup|Edwards
aterribletemptation|Reade
atouristidylandotherstories|
atragichoneymoon|St. Aubyn
atravellerstaleofthelastcentury|Spence
avagabondinarts|Gissing
avaliantignorance|Dickens
avalleyofshadows|Colmore
averymadworldormyselfandmyneighbourfair|Hudson
averyoldquestionanovel|Pemberton
avictimofgoodluck|Norris
avillagehampden|Gissing
avirginwidow|Grey
avoyageofdiscovery|Aïdé
awanderingstar|Cuninghame
awhimanditsconsequences|James
awilfulyoungwoman|
awillandaway|Coke
awilywidow|Cresswell
awinterindublin|Sedley
awinterinlondonorsketchesoffashion|Surr
awinterinparisormemoirsofmadamedec|C.
awitchofthehills|Warden
awomanofforty|Stuart
awomanserror|Trollope
awomanslovelesson|Dunham
awomansstory|Hall
awomanstrials|O'Meara
awomansvengeanceanovel|
awomansrequital|Dickens
ayearathartlebury|
ayellowaster|Caffyn
aaronthejew|Farjeon
abelallnuttanovel|Morier
abigelroweachronicleoftheregency|Wingfield
acquittedanovel|Smythies
adamooresstory|
adareis|Lamb
adambede|Eliot
adambrownthemerchant|Smith
adamandeve|Parr
adelaidelindsay|Marsh-Caldwell
adelaidereginaditaliaossialacoronaferrea|MacCabe
adelaide|Cuthbertson
adelaide|Cathcart
adelinemowbrayorthemotheranddaughter|Opie
adelineorthemysteriesromanceandrealitiesofjewishlife|Heighway
adrian|
adrianvidal|Norris
adventuresofbilberrythurland|Hooton
adventuresofanaidedecamporacampaignincalabria|Grant
adèle|Kavanagh
afterdark|Collins
afterlongwaiting|Nicholson
againstthestreamthestoryofanheroicageinengland|Charles
againstwindandtide|Lee
agathabeaufort|Ellis
agathashusband|Craik
aggesdenvicarage|
agincourt|James
agnes|Oliphant
agnesarnold|MacCabe
agnesdemansfeldt|Grattan
agnesorbeautyandpleasure|Reynolds
aimsandends|Sheridan
alandering|Fetherstonhaugh
alas|Broughton
alcestis|Warre Cornish
alecsbride|Tabor
alethea|
alexena|
alicegodolphin|Neville
aliciadelacy|West
aline|Grey
allalongtheriver|Braddon
allforgreed|Blaze de Bury
allfornaught|Woollam
allinagardenfair|Besant
allsortsandconditionsofmen|
alltheworldsastage|Marks
allanbreck|Gleig
allegiance|Taylor
allertontowersanovel|Thomas
almacks|
almacks|Hudson
aloneonawidewidesea|Russell
alstoncrucis|Shipton
altiorapeto|Oliphant
altonlocketailorandpoet|Kingsley
altonlocketailorandpoet|
amat|
amatorytalesofspainfranceswitzerlandandthemediterranean|Scott
ambition|Lewis
amongaliens|Trollope
anaustralianheroine|Praed
anenglishsquire|Coleridge
anangelsformandadevilsheart|
anartistsproof|Austin
anenthusiast|Fothergill
